Id|Res_id|Paragraph
1904879|2|The CareStart  Malaria HRP2 pf Ag RDT had a sensitivity of 82.4% (95% CI:74.9 88.4%) and specificity of 76.6% (95% CI 71.9 80.9%). The PPV, NPV and Acc were 57.4% (95% CI 52.4 62.3%), 91.9% (95% CI 88.7 94.2%) and 78.2% (95% CI 74.3 81.8), respectively. False positive results were observed in 42.6% (83) of children with microscopy negative results for P. falciparum, while the false negative rate was 8.1% (24) among the children as shown in Table 3. The measure of agreement kappa (?) between microscopy and CareStart  Malaria HRP2 pf Ag RDT (G0141) was 0.52. There was a statistically significant dependence of the positivity of the RDT on clinical malaria parasitaemia (P?<?0.001), fever (P?<?0.004) and parasite density (P?<?0.001). The positivity of the RDT was 100% for clinical malaria parasitaemia (presence of Plasmodium, with an axillary temperature of ??37.5? C) and 72.2% among febrile children (temperature of ??37.5? C, regardless of the presence of Plasmodium). The RDT demonstrated a sensitivity of 96.1% for parasite densities above 200 parasites/?L of blood (Table 4). A multivariate analysis demonstrated that children who were febrile (P?<?0.001), less than 5 years old (P?<?0.02), those who had fever within a month (P?<?0.001), and those anaemic were more likely to have a positive RDT result. Febrile children were 6.8 times more likely to have a positive RDT for P. falciparum than non-febrile children while those under 5 years of age were 2 times at odds of having a positive RDT than their contemporaries. In addition, children with a history of fever within a month at the time of the survey were 4.57 times more likely to be positive for P. falciparum infection by RDT when compared with children without fever. Moreover, those with anaemia were 2 times at higher odds of having a positive outcome with RDT than non-anaemic children as shown in Table 5. The accuracy of malaria parasitaemia as assessed by the area under the ROC curve to predict malaria by RDT was 75.4% (95% CI, 70.6 80.1). The optimal cutoff for the diagnosis of malaria by RDT was 77 parasites/?L of blood.
544861|1|Seventy-four facilities correctly filled out and returned their questionnaires given a response rate of 90.2%. More than half 50 (67.6%) of the functional facilities were in the urban area. As shown in table 1, among the doctors and nurses, a majority 22 (95.6%) and 10 (83.3%) respectively were in the urban area, while among the community health extension workers (CHEWs)/community health officers (CHO), a majority 20 (90.9%) were in the rural areas. Respondents were asked to state the various methods they used in diagnosing malaria. If they used more than one method, they were asked to say so. As shown in table 2, the most common method for diagnosing malaria in the study area by health workers was syndromic approach, followed by microscopy and then RDT examination. Doctors and laboratory technicians were significantly more likely to use RDTs than CHEWs/CHOs and nurses while the laboratory technicians and nurses were more likely to use microscopy than doctors and CHEWs/CHOs. Also, nurses, CHEW/CHO and doctors were significantly more likely to use syndromic approach than laboratory technicians. Within the groups, all the other health workers were significantly more likely to use syndromic approach except for the laboratory technicians who used microscopy more. As shown in table 3, majority of the respondents 45/74 (61.1%) knew about RDTs and most of them learnt it through their co-workers 18 (40%) and conferences 13 (28.9%). Awareness was higher among doctors 18/23 (78.3%) and laboratory technicians 14/17 (82.4%). There was statistically significant differences in awareness among the different cadres of health workers. Also, the proportion of workers aware was higher in the urban area (34/50, 68.0%) than in the rural area (11/24, 45.8%). Health workers in the public facilities were more aware than those in the private facilities and this was statistically significant.
544861|2|As shown in table 3, majority of the respondents 45/74 (61.1%) knew about RDTs and most of them learnt it through their co-workers 18 (40%) and conferences 13 (28.9%). Awareness was higher among doctors 18/23 (78.3%) and laboratory technicians 14/17 (82.4%). There was statistically significant differences in awareness among the different cadres of health workers. Also, the proportion of workers aware was higher in the urban area (34/50, 68.0%) than in the rural area (11/24, 45.8%). Health workers in the public facilities were more aware than those in the private facilities and this was statistically significant. As shown in table 4, a total of 24 (32.4%) had RDT kits in their health facilities of work at the time of the survey. In the urban area, 13/50 (26.0%) of them and 11/24 (45.8%) of the rural facilities had RDTs, but there was no statistical significant difference (p > 0.05). Among the public health facilities, 14/36 (38.9%) of them and 10/38 (26.3%) of the private facilities had RDTs, but the difference was not significant (p > 0.05). Most of these RDTs were either bought from a pharmacy store 10 (41.7%) or were donated to them by nongovernmental organizations 10 (41.7%). Only 3 (12.5%) of the facilities got their RDTs from the government. However 26 (35.1%) of the respondents knew where to purchase or get RDTs.
544861|3|Table 5 shows that of the 45 that were aware of RDTs, only 23 (51.1%) facilities had actually used it. Most of the users were in urban area 16/34 (47.1%) and were mostly from the public facilities 16/26 (61.5%). Doctors 11/18 (61.1%), laboratory technologists 7/14 (50.0%) and CHEWs/CHOs 5/10 (50.0%) were the main users with no nurse using them. Out of the 23 facilities that had used RDTs only 10 (43.5%) were still using it at the time of the survey. The non users were mainly from the private clinics 8/19 (42.1%) and the reasons given for non use included: unreliability of RDTs, supply issues, cost of the RDTs and preference for other methods of diagnosis. Table 6 shows that out of the 23 respondents that had used RDTs, most of them 17 (74%) said RDTs saved time and was better than other diagnostic methods 11 (47.8%), while 4 (17.4%) and 2 (8.7%) of them said RDTs were the same with other diagnostics and were worse than other diagnostic methods respectively. However, 6 (26.1%) were not sure. From the table, supply issues, charge to patients, and ignorance, were the most important limitations of the use of RDTs being 20 (86.9%), 15 (65.2%) and 6 (26.1%) respectively. More than 90% of the respondents rated RDTs to be either good, very good or excellent. A majority of them 16 (69.6%) were satisfied with the benefits of RDT while a few 3 (13%) and 4 (17.4%) were not and indifferent respectively. As shown in table 7, of the 23 respondents that had used RDT, 10/16 (62.5%) in public facilities and 6/7 (85.7%) in private facilities said they knew RDT could be affected by temperature. While 6/16 (37.5%) and 2/7 (28.6%) of public and private facilities respondents respectively preserved their RDTs in cold boxes, 4/16 (25.0%) and 2/7 (28.6%) of them in public and private facilities respectively had no special arrangement. There was no statistical significant differences between the private and public facilities in all the variables.
544861|4|Table 8 shows that more of the public health facilities (32, 88.8%) and fewer (13, 34.2%) of the private health facilities reported using ACTs for the treatment of malaria. Private health facilities reported using SP, chloroquine and Artemisinin Monotherapy more than the public health facilities, being SP (12, 31.6%), chloroquine (10, 26.3%) and Artemisinin Monotherapy (3, 7.9%) for private health facilities and SP (2, 5.%6),and chloroquine (2, 5.6%) for public health facilities respectively.. ACTs were available in 32 (88.8%) and 17 (44.7%) of the public and private facilities respectively at the time of this survey (p < 0.05). Most of the public facilities 30 (83.3%) and 14 (36.8%) of the private facilities had Artemether-Lumefantrine (AL). However, Artesunate+Amodiaquine (AA) were found in 13 (36.1%) of the public and 5 (13.2%) of the private health facilities respectively, while Dihydroartemisinin-Piperaquine (DP) were found in 16 (44.4%) of the public and 8 (21.1%) of the private facilities respectively. 
361983|1|A total of 78,454 patients with a clinical diagnosis of malaria were tested using RDTs over a period of approximately four years at four study health centres; 25,473 (32.5%) tested positive for P. falciparum malaria. Bufundi and Kilibwoni, both located at relatively high altitude, had lower RDT positivity rates compared to Kebisoni and Sengera (Table 1). Positivity rate increased with decreasing altitude. Sites located at high altitudes showed similar positivity rates among all age groups (Figure 1) except for increased rates in males aged 15 years and above at Bufundi, which probably reflects high levels of mobility in this group due to seasonal labour in neighbouring (and more endemic) districts. Some variations in morbidity levels between age groups were observed in Sengera and Kebisoni, areas located at lower altitudes. Sengera, which is a non-governmental health centre, showed an age pattern compatible with moderately high endemicity in which relatively few adults are affected compared with younger age groups. RDT positivity rates varied by season and year at each site, indicating temporal changes in accuracy of clinical diagnosis of malaria (Figure 2). The absolute number of suspected cases of malaria who tested positive varied between sites depending on altitude and type of health facility. As an example, Sengera, the non-governmental facility, charged fees for consultation and drugs whereas the other government facilities provided free treatment, resulting in relatively low observed attendance at the facility. RDT positivity rates increased as the number of RDT-positive cases increased, especially in sites located at lower altitudes. There was a strong correlation between monthly RDT positivity rates and number testing positive with RDTs in all sites, with correlation coefficients varying between 0.64 (Kebisoni) and 0.87 (Sengera). At Kebisoni, both clinical malaria cases and RDT-positive cases increased during the study period, but there was no similar trend in the RDT positivity rate (Figure 2).
361983|2|At the hypoendemic site (Kilibwoni), only 10/1,000 (1.0%) of cases examined microscopically were positive for P. falciparum by RDT, whereas at the mesoendemic site (Kebisoni), 609/1,237 (49.2%) were positive. The sensitivity, specificity, PPV and NPV of the RDTs at Kilibwoni were 90.0%, 99.9%, 90.0% and 99.9%, respectively, whereas the corresponding figures at Kebisoni were 91.0%, 65.0%, 71.6% and 88.1%, respectively. A significantly higher specificity was observed at Kilibwoni compared to that of the more endemic Kebisoni (p < 0.0001) (Figure 3). This resulted in a significantly higher NPV for RDTs in the former (p < 0.0001), but there was no significant difference between the two sites in terms of PPV (p = 0.198). At Kebisoni, 220/628 patients (35%) who tested negative by microscopy tested positive by RDT. At Kilibwoni, only one of the 990 patients who tested negative by microscopy tested positive by RDT. Fifty-five of the 609 patients (9%) confirmed to be positive with microscopy at Kebisoni were declared negative with RDTs. Most of these patients had low mean parasite densities (below 1,000/?l in 34/55). However, six of the 55 false negative patients at Kebisoni (11%) had parasite densities exceeding 8,000/?l. At Kilibwoni, one patient was false negative by RDT out of a total of 10 who were confirmed positive by microscopy. At Kebisoni, true parasite rates (as determined by microscopy) declined during the four months (December 2005   March 2006) of concurrent collection of blood samples for comparison of RDTs with microscopy. During this period, the specificity of RDTs increased steadily from 56% in December 2005 to 79% in March 2006 (Figure 4a). There was no substantial change in the sensitivity of RDTs. During the same period, the NPV of RDTs increased from 67% to 92% whereas there was little change in PPV (76% in December 2005 and 77% in March 2006). The true parasite rate varied between age groups. The peak parasite rate was observed in children 2 4 years of age and the rate decreased in the older age groups (Figure 4b). Specificity of RDTs increased as parasite rates decreased, but sensitivity was more or less uniform among the various age groups. Sensitivity of RDTs was significantly higher in patients with fever (body temperature of 37.5 C and above) on presentation compared to non-febrile patients (97% versus 89%, p = 0.006) but specificity was significantly lower in febrile patients (33% versus 69%, p < 0.0001). No significant differences were detected between the two groups in terms of PPV and NPV (p = 0.827 and p = 0.742, respectively). At Kebisoni, microscopically confirmed P. falciparum patients with high parasite densities were significantly more likely to be true positive with RDTs than patients with a low parasite density (Figure 5). The mean parasite densities of false negatives and true positives were 898/?l and 5,215/?l and this difference was statistically highly significant (p < 0.0001). A logistic regression model showed that age, presence of fever, area and month of presentation were significantly and independently associated with probability of a negative RDT test result being a true negative (Table 2). False positive error rates declined in older age groups. Patients with fever at the time of presentation were more likely to test false positive with RDTs compared to those without. The site at higher altitude and with low malaria transmission intensity was associated with higher specificity. Specificity increased towards the end of the transmission season. Previous intake of antimalarials, revisit in the previous two weeks, travel outside the district in the previous two weeks and sex were not significantly associated with the probability of a negative RDT test result being true negative.
451939|1|One thousand seven hundred forty studies were identified from electronic databases. After screening the titles, abstracts, and keywords, 1595 studies were removed based on inclusion and exclusion criteria, 85 studies were removed due to the duplicates and 60 full-text potentially eligible articles were retrieved for the consideration. Finally, 15 studies were included in the analysis [27,28,29,30,31,32,33,34,35,36,37,38,39,40,41]. The flow diagram of our study selection is shown in Fig. 1. We included fifteen studies that compared the economic value of RDT with other malaria diagnostic methods. Fourteen studies were full health economic evaluations that made a comparison in terms of costs and effectiveness between RDT and its comparators. All of them were cost-effectiveness analyses, nine of which used decision tree models. Besides, one study, although did not say that it was a cost-effectiveness analysis, assessed both the costs and the specificity of RDT, thus we also considered it as full economic evaluations and included it [28] (Table 1). Most of the studies were conducted in Africa, except three: one in Afghanistan [29], and two in Brazil [36, 37]. The Africa-based studies were all performed in Sub-Saharan Africa (Ethiopia [32], Congo [35], Ghana [38, 40], Kenya [28], Nigeria [41], Senegal [34], Tanzania [33], Uganda [27, 30, 31]). One study targeted at all endemic countries in Sub-Saharan Africa using a simulated cohort with fever in the rural areas [39]. Eleven studies focused on suspected malaria and fever patients. Among the other four studies, two targeted at children [38, 40], one focused on the application of RDT in school students [28], and one assessed the effectiveness of RDT among healthy pregnant women [35]. According to the CHEERS checklist, huge gaps existed in the quality of evidence reported. Scores ranged from 7 to 23. Two studies provided a high quality of evidence with the highest score of 23 [29, 40], five had evidence of moderate quality [27, 30, 35, 36, 38], and eight had low quality with the lowest score of 7 [28, 31,32,33,34, 37, 39, 41]. The overall quality of all studies included could be seen in Fig. 2 and Additional file 1.
451939|2|The economic value of RDT was assessed in the fifteen economic evaluations and summarized in Table 2. Three malaria diagnostic techniques were reported and compared in all papers: RDT, microscopy, and presumptive diagnosis, and the majority took microscopy and/or presumptive diagnosis method as the comparison for RDT.
451939|3|Microscopy is a conventional diagnostic method to detect malaria infection. Six out of fifteen studies found that introducing RDT to substitute microscopy was likely to be cost-effective [27, 29, 35, 37, 39, 41]. Four of them made that conclusion as RDT could lead to either lower costs and improved outcomes, or a cost-saving when compared to microscopy [29, 35, 37, 41]. A cost-effectiveness analysis based on decision tree compared RDT and microscopy to presumptive diagnosis simultaneously [27]. It found that overall, RDT had lower positive ICER than microscopy and was most cost-effective in both high and low transmission settings. A decision-analytical study presented evidence of the cost-effectiveness of RDT compared to both microscopy and presumptive diagnosis [39]. With a threshold of USD 150 for the incremental cost per addition averted disability-adjusted life years (DALYs), RDT was highly likely to be cost-effective. The cost-effectiveness of RDT in comparison to the presumptive diagnostic method was reported in ten studies, and all of them used presumptive diagnosis as a base case with RDT as the intervention to compare [27, 29,30,31,32, 34, 38,39,40,41]. Eight studies provided supportive evidence that RDT was highly likely to be cost-effective: three studies observed that the use of RDT could be less costly while more effective [27, 32, 41], three studies found that RDT could result in an increase in both costs and effectiveness but it had the potential to be cost-effective at a low willingness to pay (WTP) threshold [29, 30, 40], another study observed a low ICER of RDT but admitted that whether RDT could be cost-effective would depend on how much decision-makers would be willing to pay [31], and a decision-based analysis showed that RDT was 85% certain to be cost-effective at all prevalence level below 65% [39].
451939|4|Fourteen of all fifteen studies received funding from various sources (Additional file 4). It was not clear based on current evidence whether founding sources would have an impact on whether RDT was cost-effective. Seven studies were government-sponsored, either intergovernmental organization or local government [28, 32, 34, 35, 37, 39, 41], and five of them supported the cost-effectiveness of RDT [32, 35, 37, 39, 41]. Of eight studies that did not receive funding from the government [27, 29,30,31, 33, 36, 38, 40], seven were sponsored by either non-governmental organizations or research institutions including universities and five studies reported that RDT was cost-effective [27, 29,30,31, 40]. There was only one study that had no statement of the source of funding, and its result did not support RDT s cost-effectiveness because it found that if the accuracy of microscopy could be guaranteed, there would be no additional benefits of applying RDT [36]. As most of the studies included received funding from nonprofit organizations and there was only one research that did not report its funding source, the impact of funding sources was less clear.
451939|5|Studies took a wide range of study perspectives which determined the scope of costs and effects within the evaluations: five studies were conducted from the societal perspective, four adopted a perspective of the health sector, one study did not report its perspective and the rest were undertaken under narrower perspectives such as provider or patient. There was a high level of heterogeneity among the selection of outcome measures among studies with narrow perspectives while the five studies under a societal perspective adopted either the number or the proportion of appropriately treated patients as the outcome, which can be considered as the same measure of effectiveness. We thus would take  the number of appropriately treated per 1000 suspected cases  as the main outcome and recalculate the results based on the available data. The comparison of the economic value of RDT between five studies taking a societal perspective was plotted in Fig. 3. Compared with other diagnostic techniques, the incremental effects of RDT were always positive, i.e., using RDT could contribute to an increase in the number of appropriately treated patients, but its impact on additional societal costs was not clear and could largely depend on the comparator selected. The introduction of RDT to replace presumptive diagnosis resulted in an increase in costs [27, 29,30,31, 40], but that increase was relatively small in most of the studies. There were two studies that provided evidence for the comparison between RDT and microscopy from a societal perspective, they observed a cost-saving effect when RDT was introduced [27, 29]. Overall, given a small number of studies, it could be found that RDT had the potential to be cost-effective particularly compared to microscopy under a societal perspective and whether RDT could be a dominant strategy would largely depend on the threshold of policymakers. Changes to the malaria prevalence tended to have an impact on the costs and effects of diagnostic methods. Thirteen studies recognized its potential influence on the cost-effectiveness of RDT compared to other methods but only eight of them formally investigated the uncertainty brought by malaria prevalence [27, 30, 31, 33, 37, 39,40,41]. The introduction of RDT to replace microscopy was found to be a dominant strategy regardless of the prevalence levels [27, 37, 39, 41], but the ICER could be lower with an increase in prevalence [33]. The cost-effectiveness of RDT against presumptive diagnosis was consistent: all the four studies that tested the robustness of the results found that RDT could be more cost-effective in the area with lower prevalence [30, 31, 39, 40]. Among all included studies, eleven had no restriction on participants  age and four limits the population to students or children of different ages. Evidence showed that whether RDT could be cost-effective compared to other diagnostic methods was not likely to be influenced by the age of the target population. Of the four papers with a limitation on the age, half applied RDT on children under 5 years old and supported the cost-effectiveness of this diagnostic method [31, 40], while the other half focused on children as well and did not reach that conclusion, but both of them recognized the cost-saving effect of RDT compared to microscopy [28, 38]. Of eleven studies without a limitation on age, eight showed that RDT could be more cost-effective compared with other methods [27, 29, 30, 32, 35, 37, 39, 41]. The majority of economic evaluations included considered RDT as a cost-effective strategy regardless of whether the study limited the subjects  age. Further details can be seen in Additional files 2 and 3.
